userName,content,score,at
A Google user,"Good VPN, works well, gives you better connection, but there's so many ads including outside the app. Whenever I leave an app or open an app a pop up ad will come up. I understand that you need to pay to keep your app up and stuff and that's perfectly fine, but maybe let the user know that there will be ads. Good overall, but the ads are excessive. But the VPN part is good, it works, and it does it job. But maybe do a little change to the ads.:)",2,2018-10-24 22:27:32
Amtemeri,"This is a good VPN. But it has two problems worth mentioning. 1: Discord VCs don't work. Messages are fine, but joining a VC is impossible. I believe this is due to Turbo VPN not using a UDP (User Datagram Protocol) which is required for Discord VCs. 2: Ads. I get it's a free app but there has to be a limit. You get an ad EVERY TIME you open the app and turn on/off the VPN. It makes the app feel monotonous to use. It doesn't bother me, but I know that ads may be a dealbreaker for a lot of users.",3,2022-12-19 23:04:00
A Google user,"Video ads with audio = instant uninstall. Edit: Yes developer, I am well aware how modern software is monetized on mobile devices. Most of your ads are simple page splash, with no live video or sound. However, sometimes the videos come on, and never again. You do not value my privacy or my data usage, and I no longer value your product as a result.",1,2019-08-20 21:58:23
A Google user,"I had used Turbo VPN for a long time, as it seemed pretty good. Unfortunately, I eventually noticed the that once you've been connected for an hour or two, they start throttling your connection to 0.5 Mb/s, which isn't too bad. But the fact that they throttle your connection is what drove me to find a better one. P.S. One can assume that if you buy the vip you'll not be throttled, but I ain't paying.",2,2019-09-11 12:00:16
P. Luis Ocasio,"EDIT: So they've deprecated or removed the number of locations (India, Singapore, etc.). The ads however make it just extremely hard to use. If I connect to a site, go to an app and the app won't connect, in order for me to go back to the VPN app, I have to watch an ad, just to check the connectivity. Lame. Extremely annoying when time is of the essence. Again... I used the subscription service but found it a hefty cost for the features; and now with less sites it just isn't great.",2,2023-01-17 22:18:22
A Google user,"Been using this successfully for a couple of months. Works well most of the time. But starting last week and coinciding with the latest update the app won't connect at all. Instead a pop up appears warning of counterfeit software with a link to the play store, where the options are to uninstall or to run the app. I tried uninstalling and reinstalling the app but that didn't help.",3,2019-10-07 20:25:04
Joy Tan,"I used this app for quite a long time. About 1 and a half years. It never crashed, never disconnected or anything. This was my go to VPN. There were a lot of ads but that was okay. However, right now, the speed keeps on slowing down and I have no choice but to eventually disconnect it everytime. I tried almost all the countries but to no avail:/",2,2021-03-25 01:36:39
A Google user,"Turbo VPN is one of the best free VPN's I have found. That said, it's still an unreliable piece of garbage that will occasionally decide to not work approximately once a week. Pros: High speeds on certain servers Very secure Free! Cons: Will frequently give you a ""no network found error"", making app unusable Will automatically disconnect after a bit if the server is manially chosen High speed unreliable and often requires connection restarts Almost certainly giving your data to China",2,2019-06-02 15:01:30
A Google user,"Honest review: while I cannot say that this is the best Free VPN out there, but it definitely gets the job done most of the time ( cause there'll be time where you encounter server not being able to get any connection.) But, eventually you will gets it after trying it a few more time ( or tap repair). I'm on vacation in China this November(2018) and realized that using my own data to browse the ""Western"" webpages or watch YouTube or using any other services is simply not good enough(cause the speed simply can't pull it off). And while connect to the local WiFi also won't allow to do any of the things that I've mentioned above, and that I knew that I should've install a Free VPN app before my visit. But I'm glad that I found this app in the play store and it works just fine. But, I think there's a slight problem with the app, it may consume quite much power(which it is not quite good to use outside unless you have a power bank with you most of the time).",4,2018-11-30 13:45:05
A Google user,"Great app! It works well and free servers work fast. Occasionally, they are a tad bit slow, but they are free. I just found out if you pull down past your notifications (where you see Wi-Fi settings, Flash Light, DND, etc.), it'll tell you, ""Device connected to Turbo VPN."" If you tap on ""Device connected to Turbo VPN,"" there's an option called, ""Always-On VPN."" Turning that setting on will make your VPN connection more stable. I just turned it on for my Essential Phone. Edit: Uh, ok, then...?",4,2019-04-13 22:20:47
Victor Salazar Martinez,"Like many VPN's, paying for the service actually makes the service 300x better. The free version has a long boot-up time on the chrome laptops, but when it's up and running has decent speeds. However, once I paid for the one month experience, it went from 5kb to 15-16kb speeds. For many others, that might not be very significant, but to me who uses school wifi and still trying to access his favorite sights? Well, it's a major difference.",4,2022-06-09 05:16:13
A Google user,"The application is very easy to use. However, a user's ability to remain anonymous is severely flawed due to many DNS leaks and poor encryption methods (maybe that's why the VPN can connect in less than two seconds). What's the point in using a VPN that does not protect my digital footprints from my ISP? I understand that the service is free, but please focus a little more on your network security. Thank you.",3,2019-03-26 12:31:36
Aksam Rafiz,"At first when I got it last year it was fantastic, speed was decent and you had a couple of servers to choose from. They also had ads but they never hindered my experience but fast forward to the present their situation has deteriorated since then, the app is filled with ads, it will bombard in ur face and u can't do anything but wait till it's over. More over, the speed has gone down too, no longer is it possible to surf properly. Goodbye turbo, you were good while u lasted.",3,2020-08-18 01:17:42
A Google user,This works fine as a VPN. However the free version is so clogged with ads I didn't even want to try it long enough to consider paying for VIP. You already have banner ads. Why would you have video ads run (at max volume I might add) every time I switch back to the app on top of ads that run after you connect to a new location? That's overkill and really frustrating and off-putting.,2,2020-03-04 02:30:38
A Google user,"WAY TOO MANY ADS TO EVEN USE! If you need to check emails, great. Stream a video? Not so much! While watching a video at first it streams very well, great on buffer speed then it stops due to an ad! 🤔 Then you have to skip the ad on this ap then go back to the streaming video and start it over. Oh by the way, you CANNOT fast forward the video without causing yet another ad to pop up on this VPN. KINDA POINTLESS!!!",1,2018-10-25 10:14:11
A Google user,"It's okay for VPN standards, does what it is told and is very basic. The problem? Constant closing, it's a weak VPN from my experience. If I'm using the device while it's on and I turn on the VPN then it should *stay* on. But it doesn't, constant closing issue like everyone else. I recommend Hoxx VPN on Firefox for anyone reading this wanting another alternative.",2,2019-08-03 01:39:05
A Google user,"Saves my head from exploding on a regular basis. Made a BAD carrier switch recently which made my S7 edge practically useless. Google Play refused to update any of my apps, which can make ones head explode when your livelihood depends on your calendar app and your email app actually functioning properly. Tried several VPNs & by far the fastest connection, with stable, fast servers has by far been Turbo VPN. Google Play behaves itself & I don't have to wait all day for my updates to download. Thus my head, and my phone, remain intact. Thanks Devs! Solid FREE app. Well done! & Well worth a subscription for the extra features! Cheers!",5,2018-10-14 07:38:00
Kristyna,"Great free VPN app that is easy to connect and offers a login option to save certain settings. It allows other features with the free version. Pretty cool. If you want to upgrade for the ad free version, it is not very expensive and you get a discount if you pay annual amount versus monthly payment. I like how well it works with WiFi connection, while giving VPN browser protection.",5,2022-09-05 20:57:13
Ronald Ziehm,"***ACTUALLY*** 4.5 STARS I don't often rate anything, unless it is astoundingly terrible, or amazingly superb. And this time it is the latter of the two. I paid the nominal couple of dollars for the premium version, and it has almost exceeded my expectations. I even had to get a replacement phone from at&t and couldn't get anything from my old destroyed device, but I re-downloaded app, and still got premium version. Only issue is several locations are permanently full even though I pay for them!",4,2020-10-29 12:24:59
Meta Ze Gr8,Turbo VPN is far from perfect. There's a scammy ad that occasionally shows up in the app and tries to trick you into installing another one of the developers' apps; and that ad covers the whole app screen and doesn't go away until you shut it down from your recent apps menu and then restart it. This is in addition to the app occasionally freezing when on a black screen when trying to display a video ad.,3,2023-07-12 20:35:09
Collin,"If I could give a 0 I would. DO NOT use this app. They offer a ""free"" service that hardly works. You're lucky if it works at all. They have a premium option that you can use, but you can only purchase it yearly, not on a month to month basis. They throttle and show false up and down speeds when in app, but as soon as you close the app. You lose over 85% of the up and down speed. They intentionally throttle you to purchase the premium. Also, they put the blame on you when it doesn't ""work"".",1,2022-06-16 22:52:05
Krista Stovall,"I've been using Turbo VPN for about 2 weeks now and I have to say that it is a all around great app! The interface is easy to use and I have been thinking about upgrading to premium. The free version has everything I need, only takes a few seconds to connect, doesn't have any adverse effects on my phone or battery life, and consistently reliable I am curious what the relatively cheap premium subscription can do! If you need a quality easy to use VPN the Turbo VPN is a great choice.",5,2021-09-02 21:16:06
A Google user,"Ok so.. so far I've been using it for about a month. It works phenomenal and doesn't bug you with ads as you use your browser or whatever app you're using. (Which is automatic 4+ stars) It is also has fast activation which starts your VPN within seconds. I really like the fact that the ads are only in the app itself, like I said before. Overall, really good, trustworthy, high rated in reviews, so you cant go wrong. Happy VPNing",5,2019-08-26 11:45:22
A Google user,I like this app alot & it works well even in free version. I wish I could afford the paid version but where I am located I can not afford it because the cost of living expense per person is to high. With 2 kids that use my phone to play games having a dependable VPN is important to me and that you offer. Only problem is thay like to click on the adds when they have to connect. Anyway good job I appreciate your service & hard work :-),5,2018-10-22 07:09:27
Riza Dolam,The app needs improvements still. As a IT manager here is my honest opinion. Its a good vpn with good speed but sometimes it shows that it's connected when it's not . Plus the auto connect is very bad in the app. If you switch internet it won't auto connect even if you switch the auto connect feature on. I like this app and I bought the gold membership because I believe this app can be better. Don't disappoint me and try to make some improvements.,2,2022-08-16 13:54:18
hummus crow,"It used to be better. Recently they made it free a LOT more limited. Time is now limited, your connection gets slower if you don't watch adds. They chalk it up to ""a huge increase in server cost"", and that may very well be the case, but ths app has decreased in quality, and I have changed my review to reflect that.",2,2021-12-06 21:54:20
Frank Ciliberto,"Very slow connection, when I'm on a website the information, especially pictures are slow uploading. And the language is always needing to be translated because of the location, when I try to change the location I receive a message that I need to try later??? After multiple attempts I was finally able to change location with a different language... And the speed seems to be a little faster...",2,2023-01-27 10:46:40
Monica McIntosh,Updating my previous review. I was able to correct the problem with signing into my account and having it show as a paid subscription. I did make a second attempt to contact the developer and actually recieved a response this time. I figured out that my account needed to be reset before I had any conversation with them. Not sure why my account suddenly needed a reset as I use it all the time. I also agree that over time the ads have increased.Fewer ads when you pay should be the rule .,2,2021-10-17 20:37:59
A Google user,"I decided to buy a month for the full experience. I always hear about how great this vpn is. However it didn't work properly and even thought I turned off most of my apps except for a few, it was very slow. I would really appreciate a refund. It's very upsetting to pay a full amount for something and it immediately stops working.",1,2020-04-16 06:28:06
A Google user,"okay so I use this at school and it works. but if I use the vpn for more than 2 hours straight it stops working and I have to close the app and restart it. currently Ive been trying to get it to work for 10 minutes now and so far, its telling me to retry. and to fix this problem you have to uninstall and reinstall. i mean it works but i feel like it could be a waste of my time to have to reinstall it.",3,2019-03-27 21:24:13
David Garcia,Pretty good vpn so far. Only been few days but can't complain. Speeds seem to be good and lots of location to choose from. One issue I have is it disconnecting from vpn when I go afk for a lil bit. I'm sure this is a user issue by me and I haven't looked hard enough to change the settings. I'm spoiled and never had that be a issue with other vpn services I used. Pricing seems to be competitive also. Will update after 1 week free trial is finished.,4,2023-03-08 10:51:31
Steven Middleman,"Previous rating deleted. (Says free but asks for money) New: Re-rated from 1 star to 4. Here's the problem. When you install and boot it up, the first thing it does... is ask you to subscribe. This gives the impression that it's not free :/ If you close and re-open.. You'll find that SOME of the countries are, indeed, free. Being presented up front with payment options was a huge turn off when the app name has the word ""free"" in it. That's my ""critique""",4,2020-07-22 23:05:23
A R,"Used to be a lot better. Now, it won't even let me disconnect without watching an ad, and worst is that the ads don't close when you press the X. I don't think i can use this anymore. If youve wanted an app that will allow you to watch advertisement videos, this is the perfect app for you because it won't let you STOP watching them.",2,2022-03-10 15:32:02
Lily Rey,"at first the app worked perfectly (even tho adds are annoying but it's no surprise) but one day, maybe after a few weeks of using the app, the ""connection fail"" appeared. is it a part of a plan? now, after some more time, it just doesn't work, there's no connection. is your app supposed to work only for a few weeks? weird and disappointing 🤦🏻‍♀️",2,2023-04-30 23:27:00
A Google user,"The only reason I'm not giving this 5 stars is because sometimes the servers are a bit buggy. Other than that, this app works really good. It lets you access multiple countries without having to pay; and when you are connected it works extremely well. The English is a bit wonky at parts, but I genuinely think that I shouldn't lower my rating just because of wonky grammar.",4,2019-07-04 12:10:27
Desie Usi,"I have had no issues using this though I rarely use it but when I do, sometimes I connect hours at a time, the connection is smooth and fast. Pretty good for free service. Update 11/27. I tried the 7 day premium package and I could not even connect to a US server even after hours of attempts. It's good that on the first day of the trial, I know what to expect on a paid service, which is basically not much, and that it is a waste my money to pay for premium service.",1,2021-11-29 10:04:39
Noah Dos Santos,"I ""love"" this VPN. Barely any connection time, no option to close ads (sometimes when you close one ad another one pops up), even when the app starts up, AD. Please lower the rate of ads because people think more ads = more money, but in reality it's more ads = more uninstalls. Oh yeah, I saw that last review, closing background apps do not help, tech nerds (I'm a computer enthusiast).",1,2021-12-17 01:31:45
Oust,"Changes your location and I've got no restrictions on my phone if I choose to join into my school wifi or any other place with a firewall. Its also given me a bit more with faster internet speed but the speed isn't as consistent i feel. I'm using my phone with the VPN on yet alot of times it has me change my location and then, after that it might not make a difference at all. However sometimes it really does change things. I would say it mostly does its job so I'd recommend you try it out.",4,2021-09-03 21:27:24
Jonathan Mc Michael,"""Spot on"" is and means more then accurate results. But mastered the easy one button app. This said cause the 1on1 experience with software along with something that's suppose to be the easiest network configuration without resetting required to complete enabling. So since this is something so hardly ever met as a satisfaction rating. Thank you Development & Software engineers",5,2020-05-11 02:17:52
Christopher Grant,"Disconnects all the time, I was even getting a message that would freeze it and I'd have to force stop the app to reconnect. I even emailed them asking what was going on and they never responded. I've given them plenty of time and even followed up, still nothing. Look for a better service, this one isn't it. If I don't get contacted soon I'm changing service. Update 12/13/20 Their copy and pasted response is typical. I've already done that and it still disconnects, or stops internet from working",1,2020-12-14 03:28:52
Armin Tamzarian,"Used to be great. Now? It actually increases the number of full page, animated, video, startup, app exit, and banner ads EXPONENTIALLY, almost every day. App opens with a video ad. Choose a proxy. Another video ad, longer. Check status. Another video ad. Return from idle. Yep, another video ad, as an interrupt. There's covering costs, and there's just plain GREED. This is the latter.",1,2020-06-14 11:27:32
A Google user,"Admittedly, very easy to connect. one button push. However if u want to connect faster you have to pay, and it started it off slower than my regular ISP traffic would allow. It was basically cut in half...so no its not fast. Then it didnt help with bittorrent at all. Still throttled quickly by ISP which shouldnt happen if this is an actual vpn. Good presentation but no real follow thru.",2,2019-03-14 14:23:01
Guitargirl Jo,"Thank you so much for providing this free service. I love to watch programing from the UK, and this allows me to do it. Sometimes the speeds are slow, so I just switch to a different location. If ever it is so slow that it's not viewable, I change to Windscribe. What I don't like is that sometimes I'm not able to watch anything at all, and I have to use Windscribe. When it works, I'm grateful. Edited: Doesn't work anymore. Bummer.",2,2022-12-28 01:14:55
A Google user,"Turbo VPN Works! it has lots of Locations to choose from for free. I bought the Premium for the extra perks pretty worth it. I tested out the app to make sure it worked. I asked for my IP address that my network was under and searched it up and it did indeed say I was in a differnt location. I need 1 improvement, I wish to use Turbo VPN on Desktop and download it.",5,2019-08-06 12:11:53
Sam Oliver,"This VPN works perfectly, you can choose the country you want to show as your internet connection location. Very simple to use. Update: I love this app but, I am visually impaired, when I stream videos my videos are auto lowered to quality levels less than 480. It is very difficult to see at 480, things look fuzzy. When quality is constantly lowered to as low as 144 I can't watch videos. If I increase the quality then constant buffering. The VPN disrupts with back to back adds too",5,2021-12-21 00:29:21
Muhammad Waqar,"So far i had a very good experience with this VPN as compared to the others. It is secured as well and i am hoping that this could be the case as well. II know that to use something free we need to go through the adds, but adds can be limited to the connecting and disconnecting only once at a time not twice. This is the only suggestion i have right now.",4,2024-02-01 21:41:59
The Oddly Weird Girl,"The ads aren't that much of a hassle, and it provides a ton of countries even on the free version of the app which is great. However, my only issue is that it disconnects itself randomly at times? It does get kind of annoying to have to reconnect every time but overall it's pretty amazing already for being a mostly free service",4,2024-03-15 22:49:15
Tazoar Ahmad,"I recently started using Turbo VPN, and I must say it has exceeded my expectations. The connection speed is impressive, providing seamless browsing and streaming without any lag. The user interface is intuitive and user-friendly, making it easy for anyone to navigate. Turbo VPN's server options are diverse, allowing me to access content from around the globe effortlessly. What sets it apart is its reliability – I've experienced consistent and stable connectio",5,2024-01-21 22:01:30
Lee S,"I do not trust this developer. I signed up for the free trial but did not want to continue. The subscription auto stsrted and there is no easy way to cancel. Also, there are no servers in most countries. When I eventually contacted customer support, they say I have to go to Google Play to cancel. This is odd since I did not subscribe to begin with. I expect it should be just as easy to cancel. I feel cheated.",1,2024-02-15 11:00:52
Jamie Beard,You advertised that this vpn works in russia 2024 the free version worked well but as soon as I paid for the full version it quit working in russia. Update: tried working with the customer service to fix the issue with no result. The funny part is the free version still works how messed up is it that the free version works and the paid version does not UPDATE: THE ISSUE HAS BEEN FIXED FOR NOW AFTER 6 COMPLAINTS TO THE COMPANY I WILL UPDATE IF IT WORKS FOR 30 DAYS IN A ROW,1,2024-03-20 23:04:06
Sue,"This app is awesome and easy to use. Sure, there's ads, however, I don't think it's too much to ask to watch a couple short videos or have an ad pop up every once in a while for solid FREE internet privacy, especially in Canada where our PM is taking away all our privacy, and freedom of speech.. Turbo VPN is like giving the government a BIG F.U!",5,2024-03-02 12:32:02
April Midnight,It's an awesome app.. helps a lot. I've always wanted to watch a certain movie which only available in a specific country. Very happy with results 😊,5,2024-03-23 09:09:18
Dee Kaye,"Best VPN app I've used so far. It gives you easy options to pick a location, or manage your time. I also love the feature that lets you switch off VPN for apps you choose, which helps control lagging on your phone. Well done, folks.",5,2024-03-18 07:25:51
J. L. O,I used this a few years ago and it was pretty good. But not now...it sucks! Free trial? You should pay people to use it. It doesn't stay connected or connect it all. I'll keep shopping for a different VPN choice ty. BTW it only took me an hour to decide that I didn't want this and to cancel,1,2024-03-01 13:23:07
Jada Stephens-morningstar,"Very awesome app. So far has helped tremendously! User experience I can identify with. -jack woods _______________________________________ Thank you for responding so quickly Cindy! I think you should not change anything about the app. I love the way you are able to bounce around from location to location using the smart connection feature. Also, I really enjoy the FREE feature most of all! -jack woods",1,2024-03-23 13:50:17
Michael Weddle,"Actually free! Please just watch the ads to support these devs. My God, I download 3 or 4 other ""free"" VPN apps before I found this one. Their ads aren't long. Their speeds are high enough to stream 1080p and play games. They deserve the support. No problems so far. Today was my first day.",5,2024-02-28 12:59:48
goodwill goodin,"Everything works fine but has gotten very slow lately, to the point it barely even load a single image. Glad I tested this in a few days till I got to see the downside of this before I decide to even buy its premium.",1,2024-02-23 20:44:08
Efe Bey,"Pretty solid VPN. Simple and easy to use, not much delay on the servers and it barely takes up space in the storage, if you appreciate simplicity then this app is very likely the most ideal VPN provider you'll find.",5,2024-03-06 05:17:08
usman razzaque,"Among all the vpn ,probably this one is the best there is, slightly more expensive but worth the money. I have tried couple of them and turbo vpn is the most user friendly albeit with annoying ads in free version ofcourse.",4,2024-02-27 07:44:53
Hamsul Basri,"I just tried a trial version, only worked for just couple of seconds and then i should reconnect again. That happened couple of time as if that's all my routine usibg this vpn app. So it is perfect for those whose time is worthless. Too doubt for premium subscription.",1,2024-02-11 16:00:32
Michael Rocks,"The reasoning behind me putting 4 stars is due to the fact of the ads, it's quite annoying and hard to deal with, other than that, it's a good app! Edit - I understand, some apps need ads to keep up and running, thank you for informing me!",5,2024-02-02 00:07:06
Andrew Dressel,"Easy to use, honest app. Transparent with how the process works!! Easily accessable app developers/support- I definitely will say that the graphics and adds could definitely use a modern revision, a fresher look. Great prices and awesome discounts!!!",5,2024-01-28 09:17:58
Shamraj Kidboy,I've been using Turbo vpn for my Editing purpose... But the way the connection and speed is good. But it sucks when It's comes at the point of Ads it contains High amount of adult contents... While connecting I won't shows any ads but while disconnecting I shows adult ads... Unexpected My parents saw it while they have my mobile for seeing my edited video!! Resolve this problem ASAP otherwise it should be in the bin..😊,1,2024-02-17 18:24:03
Jamil Abdullah Durrani,"It's a good application, and keeps you informed about all happening around, and secure app for sharing views and contacts with friends and family around the world aswell as political issues of interests. Great facilities and quick responses of whatever is required. Thanks",4,2024-02-19 22:57:58
Matt B,"Would give 0 stars if possible. Pay for longest adds ever., then if u want more than 3 countries or high speed u must upgrade . Lol what a rip. Why double charge ? I.e. I needed a Japan server . So the basic package was useless . I've already Uninstalled and canceled. That was a dirty trick . Look at all our servers everywhere . So I paid . Then I find out to use all the servers i must pay again . And omg the adds are 60 seconds or more . No thanks cough ""proton vpn""",1,2024-02-05 20:16:01
Subrata Sarkar,"High amount of ads. UPDATE: Service is not good anymore; speed is very slow, now it doesn't represent rabbit🐰, it's more like snail 🐌. And, very unstable too, disconnects showing some errors, it's so frequent.",3,2024-02-16 14:06:03
Alhuren Bereza,"Advertised as free on Google, definitely not free. Constantly pushed to upgrade to a higher tier service. Could not connect while using a local WiFi network, requiring me to use my cellphone data. Uninstalling and going back to Proton VPN.",1,2024-02-04 21:28:47
Viral Islamic Production (ViralislamicProduction),"Too much ads. For One time connect 3 ads and for disconnect again 3 ads. Total 6 ads running each time connect and disconnect. Ome ad is enough. You are getting live organic traffic on internet. So please stop showing ads or decrease, should be only one ad at connecting time. And for disconnecting should not any ad. Thank you",2,2024-03-15 20:46:42
Textingsynthesia,"This app is great, most vpns don't give you fast connections for free but this one does. If you are willing to put up with a few ads then this is probably the best you will get for not having to pay a dime.",5,2024-03-20 02:46:05
Alvino Ramadhan,"good apk, but please can the automatic disconnection be removed? I really hate it when you are busy playing with the browser and suddenly the connection is disconnected. I didn't even turn on power saving mode or anything.",3,2024-03-07 14:50:34
Nithin George,"The App was working fine. But, recently an ad, which is annoyingly playing music in the background and can't be cancelled. It is interrupting the calling experience.",3,2024-01-29 11:00:35
Dave Truman,"It was the only VPN for Android that worked for me. Until I bought Premium subscription. After I bought it, it became same useless (connects maximum 3 times out of 10 when I need). I'm considering about deleting my paid account and use the free version with annoying ads. Looks like it worked better than the paid version. Very sad.",2,2023-11-09 19:55:08
مُحَمَّدْ ءَاَدِل,This VPN Takes some time to connect and sometimes it's speed becomes slow but not much slower also it has some bugs like when I go inside of the app to disconnect it shows an empty black screen for sometimes other than that it's ok,4,2024-02-16 10:48:31
Shohjahon Toyirov,"As for me, the app works perfectly. It's true that it has a lot ads, but it doesn't change my opinion. I've been using this app for almost 1 year and for a year, it is working well. Sometimes (when I have problem with internet or in a some places that is strictly prohibited) it doesn't connect, but other times, it is perfect",5,2024-01-08 01:28:06
Raimuli1717 Isbu,App is good to go. It gives you access to the platforms which are restricted. It gives a continuous connection to do your work uninterrupted...,5,2024-03-17 22:19:36
srikanth,"No working at all randomly dropping the connection to 0-0.1kbps keep disconnecting the internet, and if i reconnect, also initially, it show 12-14kbps and the with 10 seconds gradually downing to 0kbps no use of it",2,2024-02-24 20:02:51
Mohammed Ashik,"It's super secure, great for streaming, and has intuitive apps on a huge range of devices. It even includes an excellent password manager to keep everything secure.",5,2024-03-15 16:01:38
Fattuhaltaffalih,"Zedge server cannot be reached. Please try again shortly. it's always like that, I've tried several methods but there's still no change, please fix it, this has been happening for 5 months",2,2024-03-15 14:25:39
A Google user,Look forward to going premium.. Str8 Forward App I like it Much However.. Been a week or two since upgrading.. Lagging & Seems to not like certain Sites which are Visited daily by the Masses.. 🤞Quick Fix.. 🙂,5,2024-03-15 02:18:05
Sajal Dagur,This app is nice but I found a bug is after two or three days later data is not connected to server try two or three but it is not connected to server but app is working good it is nice app where data working is slow so we start. the vpn app is working,5,2024-03-07 20:26:27
David Kam Kim,"This vpn wasn't bad at all,It just that it sometimes work very slow like when we download apps or videos.,downloading apps up-to 100mb took 1-2hours, so it took 1-2day to finish downloading video.",4,2024-03-21 17:55:58
Raven,"Best VPN that you can get for free, yes the ads might be a bit annoying at times, but honestly I don't mind watching a 30 second as for the speed the app can provide. I support Turbo VPN",5,2024-02-22 22:36:45
faisal khan,"It works fine but sometimes very slow, after purchasing it's premium plan am facing issues today cannot restore my account it's showing network exception everytime. And i don't know why and there is no suppot for that and turbo vpn is not working anymore.",2,2024-02-03 00:08:02
Kunti Rai,It is best app because it can change the reason of free fire 🔥 I don't thought that it can change my server but it will work first you have to connect the VPN and your work will done and then disconnect the VPN,5,2024-02-19 10:14:37
Nick C,Decent VPN not worth the 35bux I paid for the year though. Constantly disconnecting and having to reopen the app and reselect the server. But it works. Wish I could get my money back,3,2024-02-29 10:30:28
Ewan Barry,"Ah, I see! All I'm saying is if there was a way to make give this an app a way to make a hotspot that includes the VPN. Because I use this in school and not everyone has access to the app but want the VPN. (:",4,2024-03-22 11:43:12
Ramesh Dhanoa,First I can connect all servers but now whenever I join and the app I use in that it show network connection error please fix it because if I use a server after that I cannot use that same server it shows an error,4,2024-03-18 00:29:55
Deanosaur,Split tunneling doesn't show all apps in alphabetical order! It's a real pain trying to find the apps I need to select 😭,3,2024-03-22 17:31:08
D. Hawkins,"Fast, and easily understandable...4Stars. A reliablity and security rating, would require further trial.",4,2024-03-23 05:27:42
Antonio B,Hands down the best Bang for your buck. If you're going to subscribe to any VPN service. TURBO VPN I've never had a reason to even consider another.,5,2024-03-18 11:13:04
Sharif Sircar,"Fair warning, obnoxious ad experience. Edit: I understand the reasoning behind the rapid fire ads, if it affects user experience to that extent, there really should be a warning and paid user should be on a seperate app.",3,2024-03-08 04:55:43
eternal bliss,"Best free vpn app I've tried. Quick and easy to use. The ads are a bit aggressive but other than that, it does the basics quite well.",5,2024-02-24 18:34:20
Lily Pierce,it's okay for the most part but I get way too many adds and they are incredibly inappropriate and not something people should see.,2,2024-03-22 03:15:15
