content,score,label,content_sw,content_token,content_stem
koneksi cepat dan tanpa ribet masalah iklan itu wajar namanya juga gratis kalau mau tanpa iklan ya harus bayar terimakasih banyak untuk aplikasinya boss sukses terus ,5,Positif,koneksi cepat ribet iklan wajar namanya gratis iklan ya bayar terimakasih aplikasinya boss sukses,"['koneksi', 'cepat', 'ribet', 'iklan', 'wajar', 'namanya', 'gratis', 'iklan', 'ya', 'bayar', 'terimakasih', 'aplikasinya', 'boss', 'sukses']",koneksi cepat ribet iklan wajar nama gratis iklan ya bayar terimakasih aplikasi boss sukses
sangat menyenangkan web situs semua yg tadi nya ga bisa di jangkau sekarang sudah bisa karna aku memakai aplikasi ini kuharap perkembangan atau update buat selanjutnya di aplikasi ini lebih bagus dan memudahkan untuk semua yg memakai nya terus semangat kawan kerja jangan putus asa kecil hati yg disebabkan dari mulut mulut yg tdak pantas di dngar maupun dari orng² yg tidak kenal atau yg kenal bahkan dri lingkungan sekitar anda anda sendiri lah yg bisa nilai mna yg baik mulutnya,5,Positif,menyenangkan web situs yg nya ga jangkau karna memakai aplikasi kuharap perkembangan update aplikasi bagus memudahkan yg memakai nya semangat kawan kerja putus asa hati yg disebabkan mulut mulut yg tdak dngar orng² yg kenal yg kenal dri lingkungan yg nilai mna yg mulutnya,"['menyenangkan', 'web', 'situs', 'yg', 'nya', 'ga', 'jangkau', 'karna', 'memakai', 'aplikasi', 'kuharap', 'perkembangan', 'update', 'aplikasi', 'bagus', 'memudahkan', 'yg', 'memakai', 'nya', 'semangat', 'kawan', 'kerja', 'putus', 'asa', 'hati', 'yg', 'disebabkan', 'mulut', 'mulut', 'yg', 'tdak', 'dngar', 'orng²', 'yg', 'kenal', 'yg', 'kenal', 'dri', 'lingkungan', 'yg', 'nilai', 'mna', 'yg', 'mulutnya']",senang web situs yg nya ga jangkau karna pakai aplikasi harap kembang update aplikasi bagus mudah yg pakai nya semangat kawan kerja putus asa hati yg sebab mulut mulut yg tdak dngar orng yg kenal yg kenal dri lingkung yg nilai mna yg mulut
nah ini sangat bagus karena bisa otomatis pilih lokasi peramban dan juga bisa full durasi nya kalau vpn biasa itu maksimal 1 jam,5,Positif,bagus otomatis pilih lokasi peramban full durasi nya vpn maksimal 1 jam,"['bagus', 'otomatis', 'pilih', 'lokasi', 'peramban', 'full', 'durasi', 'nya', 'vpn', 'maksimal', '1', 'jam']",bagus otomatis pilih lokasi ramban full durasi nya vpn maksimal 1 jam
sangat bagus dari segi lancarnya kenceng tapi ada suatu masalah kadang iklan nya yang tiba tiba bikin eror kalo kedepannya bisa diperbaiki saya kasih bintang lima,4,Positif,bagus segi lancarnya kenceng kadang iklan nya bikin eror kalo kedepannya diperbaiki kasih bintang,"['bagus', 'segi', 'lancarnya', 'kenceng', 'kadang', 'iklan', 'nya', 'bikin', 'eror', 'kalo', 'kedepannya', 'diperbaiki', 'kasih', 'bintang']",bagus segi lancar kenceng kadang iklan nya bikin eror kalo depan baik kasih bintang
saya tidak pernah berlangganan di aplikasi ini kenapa tiba tiba saldo dana saya kepotong sudah itu no minalnya besar saya minta aplikasi ini bisa mengembalikan saldo dana saya yang berlangganan tidak sah ,1,Negatif,berlangganan aplikasi saldo dana kepotong no minalnya aplikasi mengembalikan saldo dana berlangganan sah,"['berlangganan', 'aplikasi', 'saldo', 'dana', 'kepotong', 'no', 'minalnya', 'aplikasi', 'mengembalikan', 'saldo', 'dana', 'berlangganan', 'sah']",langgan aplikasi saldo dana potong no mal aplikasi kembali saldo dana langgan sah
sangat bagus tapi kalau bisa tolong iklan nya dikurangi karena sangat meganggu lebih ditingkatkan lagi dan sukses terimakasih ,4,Positif,bagus tolong iklan nya dikurangi meganggu ditingkatkan sukses terimakasih,"['bagus', 'tolong', 'iklan', 'nya', 'dikurangi', 'meganggu', 'ditingkatkan', 'sukses', 'terimakasih']",bagus tolong iklan nya rang meganggu tingkat sukses terimakasih
baik dan lancar semoga bisa ditambah dg fitur terjemahan sesuai keinginan negara pengguna pengupload video bokep barat nya di subtitle diterjemahkan donk ,5,Positif,lancar semoga ditambah dg fitur terjemahan sesuai negara pengguna pengupload video bokep barat nya subtitle diterjemahkan donk,"['lancar', 'semoga', 'ditambah', 'dg', 'fitur', 'terjemahan', 'sesuai', 'negara', 'pengguna', 'pengupload', 'video', 'bokep', 'barat', 'nya', 'subtitle', 'diterjemahkan', 'donk']",lancar moga tambah dg fitur terjemah sesuai negara guna pengupload video bokep barat nya subtitle terjemah donk
semoga dengan menggunakan aplikasi turbo vpn dapat membantu saya untuk browsing dan selalu terjaga di setiap website yang saya kunjungi amin sukses selalu turbo vpn turbo vpn lite,5,Positif,semoga aplikasi turbo vpn membantu browsing terjaga website kunjungi amin sukses turbo vpn turbo vpn lite,"['semoga', 'aplikasi', 'turbo', 'vpn', 'membantu', 'browsing', 'terjaga', 'website', 'kunjungi', 'amin', 'sukses', 'turbo', 'vpn', 'turbo', 'vpn', 'lite']",moga aplikasi turbo vpn bantu browsing jaga website kunjung amin sukses turbo vpn turbo vpn lite
setelah saya lebih teliti dan baca dengan benar ternyata aplikasi ini mengumpulkan banyak data dari pengguna apk ini dan memberikannya kepada pihak ketiga jadi teman teman kita harus bijak dalam menggunakan apk jangan langsung download saja,2,Negatif,teliti baca aplikasi mengumpulkan data pengguna apk memberikannya ketiga teman teman bijak apk langsung download,"['teliti', 'baca', 'aplikasi', 'mengumpulkan', 'data', 'pengguna', 'apk', 'memberikannya', 'ketiga', 'teman', 'teman', 'bijak', 'apk', 'langsung', 'download']",teliti baca aplikasi kumpul data guna apk beri tiga teman teman bijak apk langsung download
sudah lama menggunaka vpn ini akan tetapi makin kesini makin kebanyakan iklan bukan masalah iklannya tapi setiap muncul iklan membuat koneksi terputus mungkin perlu dikoreksi untuk penempatan atau memunculkan iklan tsb terimakasih ,2,Negatif,menggunaka vpn kesini kebanyakan iklan iklannya muncul iklan koneksi terputus dikoreksi penempatan memunculkan iklan tsb terimakasih,"['menggunaka', 'vpn', 'kesini', 'kebanyakan', 'iklan', 'iklannya', 'muncul', 'iklan', 'koneksi', 'terputus', 'dikoreksi', 'penempatan', 'memunculkan', 'iklan', 'tsb', 'terimakasih']",menggunaka vpn kesini banyak iklan iklan muncul iklan koneksi putus koreksi tempat muncul iklan tsb terimakasih
aplikasi nya lumayan bagus sangat membantu walaupun tiba tiba jaringan nya sedikit lelet tapi sangat membantu jadi saya kasih bintang 4 dulu,4,Positif,aplikasi nya lumayan bagus membantu jaringan nya lelet membantu kasih bintang 4,"['aplikasi', 'nya', 'lumayan', 'bagus', 'membantu', 'jaringan', 'nya', 'lelet', 'membantu', 'kasih', 'bintang', '4']",aplikasi nya lumayan bagus bantu jaring nya lelet bantu kasih bintang 4
sudah bagus tapi tolong di optimalkan lagi agar tidak menjadi terlalu berat saat membuka browser ,5,Positif,bagus tolong optimalkan berat membuka browser,"['bagus', 'tolong', 'optimalkan', 'berat', 'membuka', 'browser']",bagus tolong optimal berat buka browser
dengan aplikasi ini saya bisa membuka dan mengunjungi website kesukaan saya x twitter untuk lihat dan donwload video motivasi di pagi hari dan p pembelajaran biologi sangat direkomendasi 5 5 ,5,Positif,aplikasi membuka mengunjungi website kesukaan x twitter lihat donwload video motivasi pagi p pembelajaran biologi direkomendasi 5 5,"['aplikasi', 'membuka', 'mengunjungi', 'website', 'kesukaan', 'x', 'twitter', 'lihat', 'donwload', 'video', 'motivasi', 'pagi', 'p', 'pembelajaran', 'biologi', 'direkomendasi', '5', '5']",aplikasi buka unjung website suka x twitter lihat donwload video motivasi pagi p ajar biologi rekomendasi 5 5
kalau sekarang aplikasi ini belum bisa saya buka untuk melihat apa isi yg terbaik di dalam nya untuk sementara dgn rasa sedikit kecewa saya beri bintang 2 dulu,2,Negatif,aplikasi buka isi yg terbaik nya dgn kecewa bintang 2,"['aplikasi', 'buka', 'isi', 'yg', 'terbaik', 'nya', 'dgn', 'kecewa', 'bintang', '2']",aplikasi buka isi yg baik nya dgn kecewa bintang 2
sangat membantu saya membuka suatu link untuk download dan upload file yang terbatas pada sistem websitenya sayangnya iklannya banyak kalau ingin tidak ada iklannya saya harus dikenakan biaya per bulan saran dari saya jika pengguna baru download situs turbo vpn bebas iklan jika bagi pengguna situs ini lebih dari sebulan tidak merasa keberatan ada iklannya karena saya download turbo vpn sudah dikenakan biaya semoga semakin banyak menggunakan turbo vpn tanpa iklan fnxedws,5,Positif,membantu membuka link download upload file terbatas sistem websitenya sayangnya iklannya iklannya dikenakan biaya saran pengguna download situs turbo vpn bebas iklan pengguna situs sebulan keberatan iklannya download turbo vpn dikenakan biaya semoga turbo vpn iklan fnxedws,"['membantu', 'membuka', 'link', 'download', 'upload', 'file', 'terbatas', 'sistem', 'websitenya', 'sayangnya', 'iklannya', 'iklannya', 'dikenakan', 'biaya', 'saran', 'pengguna', 'download', 'situs', 'turbo', 'vpn', 'bebas', 'iklan', 'pengguna', 'situs', 'sebulan', 'keberatan', 'iklannya', 'download', 'turbo', 'vpn', 'dikenakan', 'biaya', 'semoga', 'turbo', 'vpn', 'iklan', 'fnxedws']",bantu buka link download upload file batas sistem websitenya sayang iklan iklan kena biaya saran guna download situs turbo vpn bebas iklan guna situs bulan berat iklan download turbo vpn kena biaya moga turbo vpn iklan fnxedws
entah mengapa sekarang vpn ini berjalan dengan loading secepat siput tidak bukan di app tapi di browser seperti google aku sangat stress tolong benarkan ini plz,2,Negatif,vpn berjalan loading secepat siput app browser google stress tolong benarkan plz,"['vpn', 'berjalan', 'loading', 'secepat', 'siput', 'app', 'browser', 'google', 'stress', 'tolong', 'benarkan', 'plz']",vpn jalan loading cepat siput app browser google stress tolong benar plz
aplikasi vpn ini yang paling bagus menurut saya browsing internet lancar dan download juga cepat two thumbs up for turbo vpn ,5,Positif,aplikasi vpn bagus browsing internet lancar download cepat two thumbs up for turbo vpn,"['aplikasi', 'vpn', 'bagus', 'browsing', 'internet', 'lancar', 'download', 'cepat', 'two', 'thumbs', 'up', 'for', 'turbo', 'vpn']",aplikasi vpn bagus browsing internet lancar download cepat two thumbs up for turbo vpn
turbo vpn parah koneksin cuma sebentar kuawalahan bulak balik buka jaringan vpn mohon untuk yg punya appk ini tolong di perbaiki lagi supaya pengguna vpn lebih nyaman,1,Negatif,turbo vpn parah koneksin sebentar kuawalahan bulak buka jaringan vpn mohon yg appk tolong perbaiki pengguna vpn nyaman,"['turbo', 'vpn', 'parah', 'koneksin', 'sebentar', 'kuawalahan', 'bulak', 'buka', 'jaringan', 'vpn', 'mohon', 'yg', 'appk', 'tolong', 'perbaiki', 'pengguna', 'vpn', 'nyaman']",turbo vpn parah koneksin sebentar kuawalahan bulak buka jaring vpn mohon yg appk tolong baik guna vpn nyaman
terkadang lemot terkadang cepat dan banyak iklan tapi untuk yang makai gratis dan tidak berlangganan seperti saya itu cukup bagus,4,Positif,terkadang lemot terkadang cepat iklan makai gratis berlangganan bagus,"['terkadang', 'lemot', 'terkadang', 'cepat', 'iklan', 'makai', 'gratis', 'berlangganan', 'bagus']",terkadang lot terkadang cepat iklan maka gratis langgan bagus
sangat memuaskan dan anti lemotmantap donlot aplikasi ini kawan semuanya di jamin mantap dan tinggal ketik apa yang kalian mau langsung muncul mantapppp okeh kawan trimakasih,5,Positif,memuaskan anti lemotmantap donlot aplikasi kawan jamin mantap tinggal ketik langsung muncul mantapppp okeh kawan trimakasih,"['memuaskan', 'anti', 'lemotmantap', 'donlot', 'aplikasi', 'kawan', 'jamin', 'mantap', 'tinggal', 'ketik', 'langsung', 'muncul', 'mantapppp', 'okeh', 'kawan', 'trimakasih']",muas anti lemotmantap donlot aplikasi kawan jamin mantap tinggal ketik langsung muncul mantapppp okeh kawan trimakasih
aplikasi yang bagus sangat membantu tapi iklan nya sangat banyak saat membuka aplikasi lain,5,Positif,aplikasi bagus membantu iklan nya membuka aplikasi,"['aplikasi', 'bagus', 'membantu', 'iklan', 'nya', 'membuka', 'aplikasi']",aplikasi bagus bantu iklan nya buka aplikasi
aplikasi ini berjalan sendiri tanpa stock browser dan bisa di atur aplikasi apa saja yang membutuhkan vpn atau tidak tapi bisa mencakup semua aplikasi yang berhubungan dengan internet terutama semua jenis browser mode gratis pun cepat tanpa kendala palagi yang paid vpn ini cocok bagi kaum pemersatu bangsa caranya mudah dan simpel tinggal klik sekali hingga muncul server negara maka kalian tinggal masuk browser yang kalian suka iklan hanya muncul saat vpn dimatikan have a nice private time ,5,Positif,aplikasi berjalan stock browser atur aplikasi membutuhkan vpn mencakup aplikasi berhubungan internet jenis browser mode gratis cepat kendala palagi paid vpn cocok kaum pemersatu bangsa mudah simpel tinggal klik muncul server negara tinggal masuk browser suka iklan muncul vpn dimatikan have a nice private time,"['aplikasi', 'berjalan', 'stock', 'browser', 'atur', 'aplikasi', 'membutuhkan', 'vpn', 'mencakup', 'aplikasi', 'berhubungan', 'internet', 'jenis', 'browser', 'mode', 'gratis', 'cepat', 'kendala', 'palagi', 'paid', 'vpn', 'cocok', 'kaum', 'pemersatu', 'bangsa', 'mudah', 'simpel', 'tinggal', 'klik', 'muncul', 'server', 'negara', 'tinggal', 'masuk', 'browser', 'suka', 'iklan', 'muncul', 'vpn', 'dimatikan', 'have', 'a', 'nice', 'private', 'time']",aplikasi jalan stock browser atur aplikasi butuh vpn cakup aplikasi hubung internet jenis browser mode gratis cepat kendala palagi paid vpn cocok kaum satu bangsa mudah simpel tinggal klik muncul server negara tinggal masuk browser suka iklan muncul vpn mati have a nice private time
sangat membantu walaupun ada sedikit iklan yg mengganggu ya kalau tidak mau ada iklan harus berbayar tapi saya suka dengan aplikasi ini bisa di gunakan walaupun gratisan tapi harus melihat iklan untuk bayarannya wkwkwk,5,Positif,membantu iklan yg mengganggu ya iklan berbayar suka aplikasi gratisan iklan bayarannya wkwkwk,"['membantu', 'iklan', 'yg', 'mengganggu', 'ya', 'iklan', 'berbayar', 'suka', 'aplikasi', 'gratisan', 'iklan', 'bayarannya', 'wkwkwk']",bantu iklan yg ganggu ya iklan bayar suka aplikasi gratis iklan bayar wkwkwk
sumpah ni aplikasi kebanyakan iklan di nyalain muncul iklan mau matiin juga iklan mulu mana iklanya lama lama bgt,1,Negatif,sumpah ni aplikasi kebanyakan iklan nyalain muncul iklan matiin iklan mulu iklanya bgt,"['sumpah', 'ni', 'aplikasi', 'kebanyakan', 'iklan', 'nyalain', 'muncul', 'iklan', 'matiin', 'iklan', 'mulu', 'iklanya', 'bgt']",sumpah ni aplikasi banyak iklan nyalain muncul iklan matiin iklan mulu iklanya bgt
alhamdulillah udah berapa kali make jaringannya cepat dapat juga sangat membantu membuka link yang ga bisa terbuka makasih ,5,Positif,alhamdulillah udah kali make jaringannya cepat membantu membuka link ga terbuka makasih,"['alhamdulillah', 'udah', 'kali', 'make', 'jaringannya', 'cepat', 'membantu', 'membuka', 'link', 'ga', 'terbuka', 'makasih']",alhamdulillah udah kali make jaring cepat bantu buka link ga buka makasih
pokoknya bagus sesuai fungsinya tidak sia sia kalian mau download ini apk pendukung ini sangat baik meski banyak iklan tapi bagusssss lahhh,5,Positif,pokoknya bagus sesuai fungsinya sia sia download apk pendukung iklan bagusssss lahhh,"['pokoknya', 'bagus', 'sesuai', 'fungsinya', 'sia', 'sia', 'download', 'apk', 'pendukung', 'iklan', 'bagusssss', 'lahhh']",pokok bagus sesuai fungsi sia sia download apk dukung iklan bagusssss lahhh
aplikasi yang bagus membantu saya membuka link download dan upload file sangat lancar saya beri lima bintang untuk aplikasi turbo vpn mantap ,5,Positif,aplikasi bagus membantu membuka link download upload file lancar bintang aplikasi turbo vpn mantap,"['aplikasi', 'bagus', 'membantu', 'membuka', 'link', 'download', 'upload', 'file', 'lancar', 'bintang', 'aplikasi', 'turbo', 'vpn', 'mantap']",aplikasi bagus bantu buka link download upload file lancar bintang aplikasi turbo vpn mantap
sangat membantu tapi juga merusak jaringan atau memperlambat perangkat mohon tingkatkan lagi server nya makasih,5,Positif,membantu merusak jaringan memperlambat perangkat mohon tingkatkan server nya makasih,"['membantu', 'merusak', 'jaringan', 'memperlambat', 'perangkat', 'mohon', 'tingkatkan', 'server', 'nya', 'makasih']",bantu rusak jaring lambat perangkat mohon tingkat server nya makasih
sinyal hilang hilang terus baru beberapa detik nyala langsung hilang ,1,Negatif,sinyal hilang hilang detik nyala langsung hilang,"['sinyal', 'hilang', 'hilang', 'detik', 'nyala', 'langsung', 'hilang']",sinyal hilang hilang detik nyala langsung hilang
lumayan buka situs bokep jd lebih mudah cuma buka situs slot aja yg rungkad terus,5,Positif,lumayan buka situs bokep jd mudah buka situs slot aja yg rungkad,"['lumayan', 'buka', 'situs', 'bokep', 'jd', 'mudah', 'buka', 'situs', 'slot', 'aja', 'yg', 'rungkad']",lumayan buka situs bokep jd mudah buka situs slot aja yg rungkad
aplikasi ya sangat bagus koneksi ya pun cepat bisa mengakses semua video,5,Positif,aplikasi ya bagus koneksi ya cepat mengakses video,"['aplikasi', 'ya', 'bagus', 'koneksi', 'ya', 'cepat', 'mengakses', 'video']",aplikasi ya bagus koneksi ya cepat akses video
sangat bagus dan cepat tapi iklan ya di kurangi,5,Positif,bagus cepat iklan ya kurangi,"['bagus', 'cepat', 'iklan', 'ya', 'kurangi']",bagus cepat iklan ya kurang
aplikasi bagus super cepat pokoya puas baru uji coba mudah2han tambah bagus haya bintang yg bicara,5,Positif,aplikasi bagus super cepat pokoya puas uji coba mudah2han bagus haya bintang yg bicara,"['aplikasi', 'bagus', 'super', 'cepat', 'pokoya', 'puas', 'uji', 'coba', 'mudah2han', 'bagus', 'haya', 'bintang', 'yg', 'bicara']",aplikasi bagus super cepat pokoya puas uji coba mudah2han bagus haya bintang yg bicara
mantaaab dan tolong diperbaiki jaringannya awal awalannya kencang namun selang beberapa waktu berjalan mendadak lemot jaringannya,5,Positif,mantaaab tolong diperbaiki jaringannya awalannya kencang selang berjalan mendadak lemot jaringannya,"['mantaaab', 'tolong', 'diperbaiki', 'jaringannya', 'awalannya', 'kencang', 'selang', 'berjalan', 'mendadak', 'lemot', 'jaringannya']",mantaaab tolong baik jaring awal kencang selang jalan dadak lot jaring
jaringan gak setabil setelah aku koreksi gak ada pengaruh peningkatan koneksi internet maaf ya kaya secem cuman bisa buka blokiran situs ,2,Negatif,jaringan gak setabil koreksi gak pengaruh peningkatan koneksi internet maaf ya kaya secem cuman buka blokiran situs,"['jaringan', 'gak', 'setabil', 'koreksi', 'gak', 'pengaruh', 'peningkatan', 'koneksi', 'internet', 'maaf', 'ya', 'kaya', 'secem', 'cuman', 'buka', 'blokiran', 'situs']",jaring gak setabil koreksi gak pengaruh tingkat koneksi internet maaf ya kaya secem cuman buka blokir situs
ok aplikasi yg sangat bgus utk penguat daya jelajah di server yg sulit utk ditembus memang mantap,5,Positif,ok aplikasi yg bgus utk penguat daya jelajah server yg sulit utk ditembus mantap,"['ok', 'aplikasi', 'yg', 'bgus', 'utk', 'penguat', 'daya', 'jelajah', 'server', 'yg', 'sulit', 'utk', 'ditembus', 'mantap']",ok aplikasi yg bgus utk kuat daya jelajah server yg sulit utk tembus mantap
